	geneID	chrom	strand	start	CAT_geneClass	FDmean	TSS2kFD	TSSFD	TSSvar	PseudoVarFD	TSS2kFD_scaled	TSSFD_scaled	TSSvar_scaled	PseudoVarFD_scaled	pseudoVarPlus1	pseudoVarPlus1_scaled	TSS2kRATIO
168	ENSG00000107443.11	10	+	97803340	coding_mRNA	39.5000499950005	24.218390804597696	12.044776119402982	4.192985074626866	7.0	-1.2348787990593721	-2.2186030416346307	0.027379830520610462	0.5656552314758301	20.0	1.1972731351852417	0.6131230418104029
172	ENSG00000107521.14	10	-	100206672	coding_mRNA	36.53934606539346	21.506746626686652	9.17910447761194	8.987761194029849	9.0	-1.2213993586696636	-2.2230208092067967	0.05933333075353224	0.7312504053115845	22.0	1.3387014865875244	0.5885914484675403
176	ENSG00000107560.6	10	-	119806406	coding_mRNA	41.451954804519545	21.866066966516737	6.492537313432837	12.611194029850747	13.0	-1.4341334559838812	-2.559826287464123	0.06761589412542619	0.9518964290618896	18.0	0.96550452709198	0.5275038793618646
178	ENSG00000107566.9	10	-	101945786	coding_mRNA	34.61003899610039	22.574212893553227	4.378109452736318	5.926318407960199	11.0	-1.089272098372812	-2.736064577577126	0.048540695542628826	0.9955272674560548	19.0	1.2609739303588867	0.6522446535265887
179	ENSG00000107581.8	10	-	120840329	coding_mRNA	30.295870412958703	19.481759120439783	4.024875621890549	0.9343781094527364	7.0	-1.0650444572539195	-2.587339518675164	0.00906309550134047	0.6894059181213379	38.0	2.3772100284695625	0.6430499884930418
182	ENSG00000107614.17	10	-	17243671	coding_mRNA	38.912208779122096	22.148425787106447	12.422885572139304	26.485273631840798	15.0	-1.364520971798736	-2.1561503772118797	0.1754772581442636	1.2209542989730835	19.0	0.95307457447052	0.5691896317895462
185	ENSG00000107625.8	10	+	70661071	coding_mRNA	35.43485651434857	19.19640179910045	5.980099502487563	3.459601990049751	7.0	-1.3596187803981783	-2.466197784860336	0.02425333112386909	0.5860984325408936	34.0	1.9463573694229128	0.541737816585409
186	ENSG00000107643.11	10	+	49514723	coding_mRNA	37.65603439656034	17.861569215392304	5.8706467661691555	2.3131840796019905	6.0	-1.4235158673879031	-2.2858411720143033	0.01196319612673377	0.4314889907836914	7.0	0.3218902349472046	0.4743348443781922
187	ENSG00000107651.8	10	+	121652242	coding_mRNA	34.3986601339866	18.908045977011493	9.527363184079602	24.71049751243781	17.0	-1.4749680145688795	-2.3681674193387012	0.22403167930118933	1.6186870336532593	32.0	1.9328314363956447	0.5496739089069911
188	ENSG00000107669.13	10	-	123687536	coding_mRNA	35.04129587041296	19.812593703148426	10.074626865671641	18.51940298507463	15.0	-1.318004768325839	-2.1608005957816965	0.13871873238727087	1.2982113361358645	25.0	1.5862239599227903	0.5654069922647224
189	ENSG00000107672.10	10	-	123734709	coding_mRNA	35.61743825617438	21.667666166916547	10.114427860696518	21.781840796019896	17.0	-1.2842348493032458	-2.347841603245901	0.18460748379373404	1.5650429725646973	28.0	1.8191881179809568	0.6083443174962307
190	ENSG00000107679.10	10	+	124134224	coding_mRNA	38.81091890810919	23.107946026986514	7.845771144278608	1.621094527363184	5.0	-1.2616739082394508	-2.4879313855621947	0.010464990626932	0.401731014251709	14.0	0.8024818897247314	0.5953980652119606
196	ENSG00000107745.12	10	-	74385837	coding_mRNA	35.45445455454455	22.58520739630185	4.875621890547262	9.859452736318408	12.0	-1.1383421471280075	-2.7048337619696086	0.07714223676515737	1.0614534616470337	38.0	2.2873069047927856	0.6370203033741745
199	ENSG00000107779.7	10	+	88516376	coding_mRNA	40.317568243175685	20.16441779110445	7.059701492537314	0.8364179104477611	5.0	-1.3666089934774899	-2.2552553350059545	0.003846146549814221	0.3390557765960693	25.0	1.2009793519973757	0.5001397323738035
204	ENSG00000107815.3	10	+	102747300	coding_mRNA	32.74592540745925	21.19490254872564	9.855721393034823	13.524079601990051	12.0	-1.123139028738568	-2.2256800867431794	0.1278597441431629	1.1667944192886353	20.0	1.3123527765274048	0.6472531249307009
206	ENSG00000107819.9	10	+	102790991	coding_mRNA	31.806319368063196	21.025487256371814	9.233830845771145	7.3000497512437805	10.0	-1.035772506251879	-2.1686603263836	0.06738293807408244	0.9607536792755128	44.0	2.8821921348571777	0.6610474796868059
210	ENSG00000107833.6	10	-	103543155	coding_mRNA	29.927707229277072	30.699150424787607	24.36318407960199	198.48243781094527	43.0	0.07499271567989102	-0.5409324896517232	1.8756521784690767	4.180070161819458	53.0	3.387805163860321	1.0257768892752286
211	ENSG00000107854.5	10	+	93558184	coding_mRNA	36.55084491550845	21.891054472763614	4.0	6.12	12.0	-1.1139892424079312	-2.473520402884602	0.035339283113075465	0.9118732213974	15.0	0.7549353837966919	0.5989206138289648
213	ENSG00000107862.4	10	+	104005289	coding_mRNA	32.06059394060594	19.83108445777112	6.4278606965174125	2.5260199004975123	7.0	-1.0845838372955383	-2.27325948020119	0.01986758005188911	0.6208006143569946	48.0	3.01169690489769	0.6185501271283158
217	ENSG00000107874.6	10	-	104192331	coding_mRNA	31.62003799620038	18.75262368815592	11.64179104477612	4.5110447761194035	6.0	-1.1084226838172018	-1.720962866028743	0.033473839123570555	0.5168510675430298	29.0	1.7642701864242554	0.5930613900719958
218	ENSG00000107882.7	10	+	104263729	coding_mRNA	27.852014798520152	15.025487256371814	2.825870646766169	3.2145273631840783	7.0	-0.9367167615289356	-1.827650419515164	0.017144140276291256	0.5112075805664062	19.0	1.0297853350639343	0.5394757745558199
219	ENSG00000107890.12	10	-	27389421	coding_mRNA	38.11508849115089	23.334832583708142	9.139303482587065	18.010497512437812	16.0	-1.189947896428045	-2.3328198461390253	0.1167394614226719	1.2881485223770142	19.0	1.139044165611267	0.6122203438967682
220	ENSG00000107897.14	10	-	27529726	coding_mRNA	28.36396360363964	16.26986506746627	7.865671641791044	11.586865671641789	13.0	-0.9181757223415844	-1.5562163573592456	0.0667837135851915	0.986951231956482	21.0	1.256097435951233	0.5736104197150547
221	ENSG00000107902.9	10	+	126150392	coding_mRNA	33.992000799920014	19.89055472263868	8.621890547263684	37.82631840796021	22.0	-1.2624141359887342	-2.2712270460318567	0.30315899886420744	1.96952223777771	28.0	1.60590398311615	0.5851539848953371
222	ENSG00000107929.10	10	-	977644	coding_mRNA	30.287971202879714	6.544227886056971	1.8358208955223883	2.4179104477611943	4.0	-1.5661865394750516	-1.8767627744532345	0.010520317465322287	0.2638483047485352	10.0	0.4936615228652954	0.2160668947491194
223	ENSG00000107937.14	10	+	1034402	coding_mRNA	36.06779322067794	20.007996001999	5.09452736318408	19.936019900497516	16.0	-1.3394469435767515	-2.583285806783989	0.1386785722678244	1.334459662437439	41.0	2.5210034847259517	0.5547330239912839
224	ENSG00000107938.13	10	+	127408279	coding_mRNA	38.92030796920308	18.657671164417795	7.54228855721393	5.449452736318408	10.0	-1.4590194245119918	-2.2593870862799497	0.02825420407196565	0.720054030418396	32.0	1.7324569225311282	0.4793813856555622
225	ENSG00000107949.12	10	+	127512115	coding_mRNA	37.83731626837317	17.334332833583208	7.1393034825870645	9.280497512437812	16.0	-1.2909463137418016	-1.932864384271612	0.03679201295675842	1.0074212551116943	55.0	2.6705574393272404	0.4581279684487651
226	ENSG00000107951.8	10	-	30638207	coding_mRNA	40.76072392760724	27.181909045477266	10.343283582089553	14.076567164179107	14.0	-1.1699139943820187	-2.6206844914611893	0.1044914993815959	1.2062021493911743	49.0	2.6339030563831334	0.666865217942485
229	ENSG00000107959.11	10	-	3214974	coding_mRNA	33.807019298070195	15.53023488255872	6.109452736318407	3.497960199004975	8.0	-1.3336733936312153	-2.021116367620022	0.01862577185983419	0.5837671756744385	24.0	1.3074776530265808	0.4593790048637986
230	ENSG00000107960.6	10	-	105677942	coding_mRNA	33.74042595740426	20.825087456271863	6.343283582089553	10.436567164179104	14.0	-1.1010304626406937	-2.3356018428185688	0.07584811032023357	1.1934975385665894	24.0	1.3164448738098145	0.6172147169262943
234	ENSG00000108010.7	10	+	131934663	coding_mRNA	34.617338266173384	20.221889055472268	6.855721393034827	18.314079601990052	16.0	-1.3156398192014562	-2.5372107444117917	0.15297083618448962	1.4622840881347656	42.0	2.577730506658554	0.5841549370429859
236	ENSG00000108021.15	10	+	5726801	coding_mRNA	36.9007099290071	17.470264867566215	4.537313432835822	3.529850746268657	6.0	-1.4587696635237393	-2.4297303216374337	0.01989592780112956	0.4504587650299072	22.0	1.1423938870429993	0.4734398037646724
237	ENSG00000108039.13	10	-	111683266	coding_mRNA	38.82941705829417	21.882558720639683	2.487562189054726	0.6610945273631841	4.0	-1.314866875024184	-2.8196790479308933	0.0039796933132975	0.3103506565093994	38.0	2.1610524654388428	0.563556199872577
238	ENSG00000108055.9	10	+	112327453	coding_mRNA	36.47585241475853	19.441779110444774	7.09452736318408	16.816019900497512	11.0	-1.2726507223379249	-2.1951393748990338	0.09386522117048972	0.8218327760696411	44.0	2.5342059731483455	0.5330041060967343
240	ENSG00000108064.6	10	+	60145172	coding_mRNA	37.54104589541045	22.618690654672665	9.09452736318408	12.726019900497512	15.0	-1.3151198491130187	-2.507015853378903	0.09884359754058274	1.3219627141952517	53.0	2.9512537568807597	0.6025056072675347
241	ENSG00000108091.10	10	-	61666314	coding_mRNA	38.20687931206879	24.17191404297851	8.308457711442786	2.984378109452736	7.0	-1.2292882376906649	-2.6187294608917995	0.02289489058192936	0.6131129264831543	22.0	1.3197031021118164	0.6326586855091063
242	ENSG00000108094.10	10	-	35379261	coding_mRNA	35.024397560243976	21.3568215892054	7.27363184079602	9.729751243781095	11.0	-1.287130466235084	-2.61340095391914	0.08629064351804057	1.035914182662964	36.0	2.203721970319748	0.6097698483598593
243	ENSG00000108100.13	10	+	35625583	coding_mRNA	33.237676232376764	12.241379310344827	6.492537313432837	4.201194029850746	7.0	-1.5919136168004229	-2.0277837959688103	0.024150509091004226	0.5307314395904541	15.0	0.8220300674438477	0.36829828971077466
244	ENSG00000108175.12	10	+	80828723	coding_mRNA	25.590140985901407	15.29985007496252	7.557213930348259	3.0979601990049748	6.0	-0.8396780702142582	-1.4714699206660635	0.020627476447948937	0.4895944595336914	14.0	0.8688782453536987	0.5978806479961088
247	ENSG00000108187.11	10	-	70092685	coding_mRNA	31.382661733826613	20.63418290854573	17.213930348258707	6.049004975124379	10.0	-0.7612009632081419	-1.00342122832341	0.030338114624006162	0.7081941366195679	24.0	1.210753254592419	0.6575026389907724
248	ENSG00000108219.10	10	+	82214066	coding_mRNA	29.38346165383461	12.493753123438282	2.6567164179104483	0.4665671641791045	3.0	-1.2829018070779998	-2.030099491574871	0.002691884060451143	0.2278728485107422	13.0	0.714758038520813	0.4251967746559846
252	ENSG00000119906.7	10	+	102672720	coding_mRNA	38.96490350964904	18.0	6.233830845771143	1.2200497512437811	4.0	-1.4888147761566342	-2.3243848909786093	0.006152807865081007	0.2840585708618164	11.0	0.5128915309906006	0.4619541787275975
253	ENSG00000119912.11	10	-	94333826	coding_mRNA	35.25077492250775	19.32783608195902	10.92039800995025	7.3136318407960195	8.0	-1.3119274070863425	-2.0046355083807192	0.049648513738383145	0.6591383218765259	21.0	1.191661536693573	0.5482953530652208
265	ENSG00000119953.8	10	-	112064678	coding_mRNA	34.5020497950205	18.49975012493753	4.552238805970148	2.7385074626865666	10.0	-1.258459972522069	-2.35532639928125	0.01693667093735356	0.7864245176315308	21.0	1.1936088800430298	0.5361927837576625
266	ENSG00000119965.8	10	-	124713731	coding_mRNA	41.18898110188981	19.211394302848575	5.72636815920398	10.289751243781094	10.0	-1.5143902463980878	-2.443591047875324	0.0488562930295341	0.6890614032745361	20.0	1.0276455879211426	0.4664207219723415
269	ENSG00000119977.16	10	-	97453683	coding_mRNA	34.76792320767923	22.66616691654173	4.54726368159204	2.029004975124378	8.0	-1.0770651595541338	-2.6896607579283454	0.016072016356848136	0.7120058536529541	44.0	2.6655934453010564	0.6519275477327167
270	ENSG00000119979.11	10	+	120863625	coding_mRNA	29.62883711628837	18.159920039980012	1.4328358208955223	1.1167164179104478	4.0	-1.0414104180588295	-2.5602774264207526	0.009207495469567426	0.3632113933563232	35.0	2.263987928628921	0.6129136951512903
272	ENSG00000120008.11	10	+	122610904	coding_mRNA	39.1975802419758	30.175912043978013	14.199004975124376	14.570199004975127	14.0	-0.8177022630742554	-2.265810602339939	0.11969669305835695	1.2689262628555298	38.0	2.6708912253379817	0.7698411957497141
273	ENSG00000120029.8	10	-	103815930	coding_mRNA	31.84471552844716	15.502748625687154	6.114427860696518	2.8818407960199006	6.0	-1.247184039063301	-1.963680668256769	0.01678504555024947	0.4579071998596192	21.0	1.195530891418457	0.4868232725093247
286	ENSG00000122359.13	10	-	81965293	coding_mRNA	31.18048195180482	18.235882058970514	5.36318407960199	3.3924378109452737	9.0	-0.9900835057639558	-1.9746675230377349	0.019846241053119117	0.6883759498596191	12.0	0.671088457107544	0.5848492684352163
289	ENSG00000122376.7	10	+	88854963	coding_mRNA	33.54794520547945	12.436281859070466	5.2039800995024885	14.163184079601992	13.0	-1.4444007754385442	-1.9392145872116089	0.06629663084871283	0.8894234895706177	14.0	0.7119836807250977	0.3707017459012429
297	ENSG00000122873.7	10	+	60028925	coding_mRNA	30.334766523347664	20.330334832583713	5.592039800995026	12.12273631840796	15.0	-0.7918354690257369	-1.9583490049068013	0.07594264418208017	1.1872270107269287	32.0	1.824696242809296	0.6701991530719752
301	ENSG00000122912.10	10	-	70287244	coding_mRNA	32.68433156684332	22.800599700149927	9.82089552238806	2.9077611940298507	8.0	-0.8589763942992371	-1.9870178663908544	0.02196237321806534	0.6952648162841797	35.0	2.26894467510283	0.6976003059300755
303	ENSG00000122958.10	10	+	70883940	coding_mRNA	30.64173582641736	14.067966016991505	1.7512437810945274	0.8478109452736319	3.0	-1.3711276243476644	-2.39007495529023	0.005802470773886738	0.2481863498687744	17.0	0.9770334959030152	0.4591112623868716
310	ENSG00000130640.9	10	-	135122376	coding_mRNA	27.76742325767423	12.765117441279358	7.0149253731343295	27.774776119402986	15.0	-1.3296470037051316	-1.8392837338186616	0.2181761624030528	1.3294426798820496	15.0	0.9508644342422484	0.4597155927225403
316	ENSG00000133678.9	10	+	81838421	coding_mRNA	39.13878612138786	25.838580709645182	24.62189054726368	70.3263184079602	29.0	-1.244961482502971	-1.3588493740074892	0.6161877118945827	2.714535872451961	28.0	1.5760361552238464	0.6601783874826249
317	ENSG00000134452.15	10	+	5932215	coding_mRNA	31.355564443555647	11.249375312343828	2.4825870646766166	1.8109452736318408	4.0	-1.4323697729415068	-2.056917890387388	0.009190864765937522	0.2849609851837158	11.0	0.6099057197570801	0.3587680691442905
318	ENSG00000134453.11	10	+	6130997	coding_mRNA	30.756924307569246	18.90854572713643	1.7711442786069649	1.8273631840796019	5.0	-0.9813183224175884	-2.4006893931336664	0.012535071971172412	0.4141149520874024	13.0	0.7347065210342407	0.6147736209918447
320	ENSG00000134461.11	10	-	5931828	coding_mRNA	31.30966903309669	9.177411294352824	6.0	1.32	4.0	-1.5781037332243408	-1.804663730497977	0.006711096887810296	0.2852133512496948	14.0	0.7771060466766357	0.2931174802471277
323	ENSG00000136738.10	10	+	17686151	coding_mRNA	36.89811018898111	23.448775612193902	8.601990049751244	27.080796019900497	14.0	-1.22812976749397	-2.583868144163445	0.22581265957919136	1.278414011001587	25.0	1.5173897743225098	0.6355007205544208
325	ENSG00000136754.12	10	-	27149882	coding_mRNA	30.809319068093192	15.412293853073466	6.54228855721393	3.2194527363184084	8.0	-1.370741193338685	-2.1604055142521266	0.025516403811763545	0.712211012840271	25.0	1.4688732028007507	0.5002477925269946
326	ENSG00000136758.14	10	-	27443313	coding_mRNA	31.62543745625437	17.175912043978013	7.218905472636816	15.6318407960199	12.0	-1.1583206338611531	-1.9565064385162656	0.10045244539557796	0.9619587659835817	40.0	2.4189626723527913	0.5431043307380792
327	ENSG00000136770.6	10	-	22292659	coding_mRNA	40.360263973602635	20.836581709145428	8.477611940298509	6.730746268656716	11.0	-1.413329403329899	-2.3080015817091835	0.035271707159611906	0.7962956428527832	11.0	0.5673600435256958	0.5162647529454578
328	ENSG00000138107.7	10	-	104262469	coding_mRNA	28.39516048395161	13.408795602198902	4.532338308457711	1.2101990049751243	4.0	-1.0744341939682145	-1.7108239433658656	0.006220476809451932	0.2867764234542847	13.0	0.6841839551925659	0.4722211592985112
337	ENSG00000138138.9	10	-	89577950	coding_mRNA	40.783521647835215	25.992503748125934	13.671641791044776	9.511641791044775	11.0	-1.2804425859871296	-2.3470463948463327	0.07128195097927527	0.9522582292556764	36.0	1.9528559744358065	0.6373285753145748
344	ENSG00000138175.8	10	-	104474149	coding_mRNA	34.83701629837017	19.732133933033484	5.4179104477611935	2.644477611940298	6.0	-1.2908753557759025	-2.514180376755065	0.019314071621825184	0.5127646923065186	28.0	1.5875002145767212	0.5664128570607996
348	ENSG00000138190.12	10	+	94608278	coding_mRNA	32.173082691730826	15.25287356321839	4.402985074626866	2.4117910447761197	6.0	-1.282027101232161	-2.1041121554018845	0.01384594198805184	0.4546138048171997	14.0	0.787097692489624	0.4740880353109186
351	ENSG00000138279.11	10	-	75173816	coding_mRNA	36.900209979002106	23.157421289355327	5.850746268656716	5.717611940298508	9.0	-1.1314908736099167	-2.5564087101476107	0.03875851033512458	0.7410008907318115	19.0	1.0838545560836792	0.6275688214926948
352	ENSG00000138286.10	10	+	74927877	coding_mRNA	38.1019898010199	20.342328835582205	8.064676616915422	26.270796019900498	17.0	-1.3915763695476235	-2.3536043434000726	0.16129393423274827	1.3320523500442505	24.0	1.363205075263977	0.5338915091263211
353	ENSG00000138293.15	10	+	51565215	coding_mRNA	33.515148485151485	20.86056971514243	9.243781094527364	3.1252736318407965	7.0	-1.11764460335905	-2.143632249452581	0.02437811056440669	0.61823570728302	17.0	0.9808171987533568	0.6224221182962825
355	ENSG00000138303.13	10	-	73976034	coding_mRNA	31.52034796520348	16.353323338330835	6.029850746268656	2.37910447761194	6.0	-1.3290231738766392	-2.233626082761964	0.018267458748711718	0.5257551670074463	19.0	1.1878207921981812	0.5188179824786165
360	ENSG00000138326.14	10	+	79793621	coding_mRNA	28.14868513148685	18.87056471764118	6.681592039800996	1.4281094527363185	5.0	-0.7593224323962046	-1.7568693599890717	0.009565198285447477	0.40920066833496094	16.0	0.941319227218628	0.670388852249896
367	ENSG00000148444.11	10	+	22605338	coding_mRNA	32.465553444655534	19.29635182408796	7.5721393034825875	5.5860199004975115	11.0	-0.8166111250375879	-1.5436196926221326	0.02147900623666404	0.682100772857666	37.0	1.6368493437767029	0.5943638649802384
368	ENSG00000148450.8	10	+	23384508	coding_mRNA	38.54614538546146	23.41429285357321	10.36318407960199	8.352437810945274	9.0	-1.2906808183528018	-2.403883289934984	0.06076686634862145	0.7676606178283691	23.0	1.3923302888870241	0.6074353899574207
371	ENSG00000148481.9	10	-	15902506	coding_mRNA	39.69243075692432	23.942528735632187	13.71641791044776	13.614179104477612	16.0	-1.3926247005024623	-2.296829346993669	0.1064397566531678	1.4147385358810425	27.0	1.4664891362190249	0.6032013731347363
373	ENSG00000148484.13	10	-	16859405	coding_mRNA	34.82311768823118	16.361319340329835	3.3432835820895517	3.0265671641791045	8.0	-1.452311282630252	-2.476384903067973	0.018729318142020137	0.6293261051177979	26.0	1.3868982791900637	0.469840738753248
375	ENSG00000148498.11	10	-	35104224	coding_mRNA	39.13288671132887	23.518240879560217	9.651741293532336	6.208109452736317	10.0	-1.2847219871232352	-2.425612229019848	0.04202554217646249	0.8227672576904297	31.0	1.841656982898712	0.6009840534649787
384	ENSG00000148606.8	10	-	79789273	coding_mRNA	28.145085491450853	18.310344827586206	6.920398009950249	6.07363184079602	10.0	-0.8275267122199815	-1.7859134620694972	0.043001796607080436	0.8414322137832642	34.0	1.8597537367604675	0.6505698777553198
385	ENSG00000148634.11	10	-	69835040	coding_mRNA	36.549845015498455	18.464267866066965	2.9154228855721382	1.477810945273632	5.0	-1.3578786288668727	-2.5252975338134007	0.00833060287240295	0.37540364265441895	16.0	0.8349751234054565	0.5051804695269556
392	ENSG00000148688.9	10	+	92631731	coding_mRNA	43.16578342165785	31.654172913543228	16.646766169154233	70.26960199004975	26.0	-1.1327166378969091	-2.609411774583124	0.6803585972071245	2.5583416223526	65.0	3.580602467060089	0.7333163076025903
393	ENSG00000148690.10	10	-	95462340	coding_mRNA	37.864413558644145	22.58670664667666	8.064676616915422	4.320796019900498	15.0	-1.198949876615125	-2.3385964216877566	0.026610281285070102	1.1771562099456787	24.0	1.4224489331245422	0.5965154223686715
397	ENSG00000148719.10	10	-	74114676	coding_mRNA	32.11178882111789	16.73013493253373	11.492537313432836	7.521194029850746	11.0	-1.3170485972831292	-1.7655160255100004	0.05514222392119683	0.9418709278106691	21.0	1.346587061882019	0.5209966665429545
398	ENSG00000148730.6	10	+	72163901	coding_mRNA	31.842315768423163	20.21689155422289	4.09452736318408	0.9160199004975124	5.0	-0.8709807628951873	-2.07887381700734	0.005141676225453298	0.3746017217636109	14.0	0.7616226673126221	0.6349064465427866
407	ENSG00000148824.14	10	+	135207704	coding_mRNA	28.23387661233877	18.720639680159923	2.6766169154228856	0.6199004975124378	2.0	-0.9176343024886591	-2.465219583084334	0.00576772512858901	0.1929173469543457	14.0	1.0141165256500244	0.6630559429440387
410	ENSG00000148834.8	10	+	106014659	coding_mRNA	36.22607739226078	23.531234382808595	11.432835820895527	9.216716417910447	11.0	-1.147440940446068	-2.240971440699563	0.07529780462855858	0.9942502975463868	25.0	1.4853649139404297	0.6495661710212028
411	ENSG00000148835.9	10	+	105127733	coding_mRNA	32.32666733326667	18.169415292353822	9.582089552238806	13.074477611940296	14.0	-1.269008510969002	-2.038747553208574	0.10504986791921828	1.2549129724502563	41.0	2.752023160457611	0.5620565555069165
