	geneID	loci	strand	geneName	geneClass	geneCategory	DHS_type	geneType	exonLen_bin	splicingType	TIEScore_tier	total_clstrCount	num_transcript	coding_status	directionality	cumulative_support	support_source_num	DPI	sum_spIndx	max_genomicLen	max_exonLen	TE_LINE_associated	TE_SINE_associated	TE_DNA_associated	TE_LTR_associated	annoComment	promoter name	max expression (TPM)	median expression (TPM)	5th	25th	75th	95th	kurtosis	skew	TATA	CpG	Gene Symbol	chrom
50	ENSG00000002016.12	chr12:1017710-1100287,-	-	RAD52	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	48539	36	coding	0.9754700000000001	ENCODE:FANTOM:GENCODE:MITRANS	4	chr12:1058799..1058840,-	13.155799805397901	79756	6625	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@RAD52	23,5	2,8	0,5	1,7	4,4	8,1	7,165119455	1,895980066	TATA-less	CpG	RAD52	chr12
51	ENSG00000002822.11	chr7:1855353-2275158,-	-	MAD1L1	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	100613	35	coding	0.98256	ENCODE:FANTOM:GENCODE:HUBDMAP:MITRANS	5	chr7:2272535..2272563,-	24.7401432956442	417155	43070	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@MAD1L1	33,2	5,3	2	3,8	7,5	12,3	8,858342914	2,034330967	TATA	CpG	MAD1L1	chr7
52	ENSG00000002834.13	chr17:37025467-37078614,+	+	LASP1	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	1304748	20	coding	0.99798	FANTOM:GENCODE:HUBDMAP:MITRANS	4	chr17:37026303..37026323,+	6.52535322681368	52956	4534	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@LASP1	1076,2	212,5	62,32	119,8	329,2	634,62	2,753803631	1,527413068	TATA-less	CpG	LASP1	chr17
53	ENSG00000002919.10	chr17:46180722-46222229,+	+	SNX11	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	68020	28	coding	0.9676799999999999	ENCODE:FANTOM:GENCODE:HUBDMAP	4	chr17:46185111..46185159,+	8.59259916863142	37063	8156	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@SNX11	53	5,9	2	4	8,3	12,76	24,83045933	3,117280456	TATA-less	CpG	SNX11	chr17
54	ENSG00000003056.3	chr12:9091899-9102573,-	-	M6PR	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	393789	19	coding	0.99536	ENCODE:FANTOM:GENCODE:HUBDMAP:MITRANS	5	chr12:9102224..9102270,-	6.6147372670147595	10108	5862	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@M6PR	365,7	52,9	28,38	40,2	68	132,16	16,42623328	3,388764016	TATA-less	CpG	M6PR	chr12
55	ENSG00000003509.11	chr2:37457863-37497836,+	+	NDUFAF7	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	108571	18	coding	-0.33382	FANTOM:GENCODE:MITRANS	3	chr2:37458776..37458862,+	9.84854630577823	28898	3748	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@C2orf56	140,8	15,9	5,64	11,7	21,1	34,64	33,11927771	4,187555688	TATA-less	CpG	C2orf56	chr2
56	ENSG00000003756.12	chr3:50126387-50157067,+	+	RBM5	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	361062	62	coding	0.99824	FANTOM:GENCODE:HUBDMAP:MITRANS	4	chr3:50126345..50126401,+	24.2692234060222	30328	5625	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@RBM5	270,5	48,6	18,88	34,1	82,7	140,98	2,40302387	1,435673505	TATA-less	CpG	RBM5	chr3
57	ENSG00000004059.6	chr7:127224432-127232426,+	+	ARF5	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	514228	9	coding	0.99456	FANTOM:GENCODE:HUBDMAP	3	chr7:127228409..127228507,+	5.3736571261376795	7995	3049	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@ARF5	661,7	74,5	34,86	54,3	95,9	161,7	29,76209691	3,78271486	TATA-less	CpG	ARF5	chr7
58	ENSG00000004139.9	chr17:26684670-26734140,+	+	SARM1	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	237110	33	coding	-0.0729	ENCODE:FANTOM:GENCODE:HUBDMAP:MITRANS	5	chr17:26684661..26684696,+	11.776435268895302	46411	12953	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@SARM1,p1@TMEM199	83	27,7	16,74	22,2	34,6	48,5	2,554870128	1,250950055	TATA-less	CpG	TMEM199	chr17
59	ENSG00000244045.6	chr17:26684670-26708716,+	+	TMEM199	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	171118	9	coding	-0.0729	FANTOM:GENCODE:HUBDMAP	3	chr17:26684661..26684696,+	5.52114628245617	24047	3082	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@SARM1,p1@TMEM199	83	27,7	16,74	22,2	34,6	48,5	2,554870128	1,250950055	TATA-less	CpG	TMEM199	chr17
61	ENSG00000004142.7	chr17:26670493-26684506,-	-	POLDIP2	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	187664	6	coding	0.060739999999999995	FANTOM:GENCODE:HUBDMAP:MITRANS	4	chr17:26684480..26684571,-	10.4353191264434	14014	2721	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@POLDIP2	139,5	32,7	12	23	44,3	70,94	2,823100247	1,322703277	TATA-less	CpG	POLDIP2	chr17
62	ENSG00000004455.12	chr1:33440651-33546597,-	-	AK2	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	186650	31	coding	0.99775	ENCODE:FANTOM:GENCODE:MITRANS	4	chr1:33502473..33502500,-	8.58289154094416	59390	13531	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@AK2	156,3	26,5	10,14	19,6	35,9	58,68	10,09175329	2,452466998	TATA-less	CpG	AK2	chr1
63	ENSG00000004487.11	chr1:23345961-23416336,+	+	KDM1A	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	373416	29	coding	0.98354	ENCODE:FANTOM:GENCODE:MITRANS	4	chr1:23345943..23346051,+	21.180800259458998	64222	10434	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@KDM1A	301	50,3	23,2	36,8	73,3	135,12	6,828749764	2,145538621	TATA-less	CpG	KDM1A	chr1
64	ENSG00000004534.10	chr3:49967031-50137478,+	+	RBM6	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	190351	60	coding	0.9956299999999999	ENCODE:FANTOM:GENCODE:HUBDMAP:MITRANS	5	chr3:49977567..49977610,+	28.333512127494696	159894	9007	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@RBM6	114,1	19,5	7,1	12,8	29,8	51,92	3,544296401	1,553073343	TATA-less	CpG	RBM6	chr3
65	ENSG00000004700.11	chr12:21620476-21654529,-	-	RECQL	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	173549	14	coding	-0.32939	ENCODE:FANTOM:GENCODE:MITRANS	4	chr12:21654479..21654580,-	14.765818923705199	33763	4931	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@RECQL	127,8	24,3	5,28	14,4	36	60,16	2,744586925	1,253938125	TATA-less	CpG	RECQL	chr12
66	ENSG00000004766.11	chr7:92847361-92989297,+	+	CCDC132	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	128003	42	coding	0.9622700000000001	ENCODE:FANTOM:GENCODE:HUBDMAP	4	chr7:92861671..92861707,+	28.8973043516045	126660	7601	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@CCDC132	147,5	19,3	4,9	12,5	28,3	53,02	9,540235494	2,219572011	TATA-less	CpG-less	CCDC132	chr7
67	ENSG00000004779.5	chr16:23588617-23607637,-	-	NDUFAB1	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	595427	6	coding	0.9995200000000001	ENCODE:FANTOM:GENCODE:HUBDMAP:MITRANS	5	chr16:23607619..23607645,-	4.82070048591641	15315	3809	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@NDUFAB1	736,9	91,4	28,74	65,5	122,2	188,5	27,91569461	3,646562797	TATA-less	CpG	NDUFAB1	chr16
68	ENSG00000004897.7	chr17:45188487-45266637,-	-	CDC27	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	226386	37	coding	0.9908	ENCODE:FANTOM:GENCODE:MITRANS	4	chr17:45266611..45266683,-	19.9340460024807	71579	11328	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@CDC27	269,3	39,7	16,04	30,3	49,3	67,36	35,06682938	3,616618503	TATA-less	CpG	CDC27	chr17
70	ENSG00000004975.7	chr17:7123230-7141878,-	-	DVL2	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	90642	33	coding	0.95536	ENCODE:FANTOM:GENCODE:MITRANS	4	chr17:7137786..7137855,-	17.1137190560661	14607	7904	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@DVL2	50,1	8,4	3,04	5,8	11,8	18,3	6,615962985	1,76712339	TATA-less	CpG	DVL2	chr17
71	ENSG00000005007.8	chr19:18942739-18980194,+	+	UPF1	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	264893	49	coding	0.99755	ENCODE:FANTOM:GENCODE:HUBDMAP:MITRANS	5	chr19:18942761..18942774,+	22.469923741886	37456	6657	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@UPF1	104,7	24,5	11,6	18,3	33,5	53,2	4,940813811	1,753027926	TATA-less	CpG	UPF1	chr19
73	ENSG00000005075.11	chr7:102113565-102119369,-	-	POLR2J	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin3:500-1000nt	type4:at_least_4_exons	tier4_stringent	238073	3	coding	0.9999299999999999	FANTOM:GENCODE	2	chr7:102119342..102119379,-	2.8654302195024703	5805	947	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@POLR2J	335,7	34,4	12,94	23,7	49,9	83,2	23,70596598	3,128457849	TATA-less	CpG	POLR2J	chr7
74	ENSG00000005100.8	chr17:5342903-5372289,-	-	DHX33	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	44974	13	coding	0.9927299999999999	ENCODE:FANTOM:GENCODE:HUBDMAP	4	chr17:5372271..5372356,-	11.3195586830834	29387	8135	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@DHX33	30	4,6	0,8	3	6,7	11,56	6,84193355	1,801260179	TATA-less	CpG	DHX33	chr17
75	ENSG00000005156.7	chr17:33307531-33332332,+	+	LIG3	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	113094	20	coding	0.97441	FANTOM:GENCODE:HUBDMAP	3	chr17:33307503..33307598,+	19.7117494712768	24802	4887	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@LIG3	91,7	16,8	7,14	11,9	22,9	37,24	5,491178338	1,708935107	TATA-less	CpG	LIG3	chr17
76	ENSG00000005175.5	chr12:48054521-48099789,-	-	RPAP3	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	132463	9	coding	0.74312	FANTOM:GENCODE:HUBDMAP:MITRANS	4	chr12:48099773..48099825,-	17.814211282744697	45269	4826	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@RPAP3	183,9	24,2	5,44	15,3	34,6	53,46	18,15437131	2,835493676	TATA-less	CpG	RPAP3	chr12
77	ENSG00000005194.10	chr16:57462081-57481297,-	-	CIAPIN1	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	144086	17	coding	0.0327	ENCODE:FANTOM:GENCODE:MITRANS	4	chr16:57481283..57481327,-	8.45577991443172	19217	3833	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@CIAPIN1	90	22	10,34	16,6	28,8	42,38	3,333209489	1,24942804	TATA-less	CpG	CIAPIN1	chr16
80	ENSG00000005436.9	chr2:75879268-75939188,-	-	GCFC2	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	76845	26	coding	0.9773299999999999	ENCODE:FANTOM:GENCODE:HUBDMAP:MITRANS	5	chr2:75937994..75938054,-	16.8450589632145	58774	27492	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@GCFC2	47,4	12	4,2	8,1	15,6	25,02	2,772117373	1,231991061	TATA-less	CpG	GCFC2	chr2
81	ENSG00000005448.12	chr2:74644386-74655407,+	+	WDR54	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	153550	30	coding	0.77478	ENCODE:FANTOM:GENCODE:HUBDMAP:MITRANS	5	chr2:74648848..74648894,+	9.74416975790367	9277	6130	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@WDR54	96,5	16,2	1,3	8,6	26,5	49,96	2,439073315	1,369258673	TATA-less	CpG	WDR54	chr2
82	ENSG00000005469.7	chr7:86946668-87031650,+	+	CROT	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	33310	19	coding	-0.45714	ENCODE:FANTOM:GENCODE:HUBDMAP:MITRANS	5	chr7:86974974..86975000,+	17.565931673526002	84983	9075	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@CROT	22,9	3,4	0,34	1,9	5	8,12	6,364319796	1,582617058	TATA-less	CpG	CROT	chr7
83	ENSG00000005486.12	chr7:75471919-75523749,+	+	RHBDD2	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	333207	27	coding	0.987	ENCODE:FANTOM:GENCODE:HUBDMAP:MITRANS	5	chr7:75508341..75508396,+	5.876191230698691	51831	31074	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@RHBDD2	334,8	38,7	14,1	25,8	59,2	135,72	12,13184271	3,106141497	TATA-less	CpG	RHBDD2	chr7
84	ENSG00000005700.10	chr6:82873571-82957461,-	-	IBTK	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	258894	30	coding	0.9913799999999999	ENCODE:FANTOM:GENCODE:HUBDMAP	4	chr6:82957433..82957477,-	27.7620434627419	83891	6044	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@IBTK	254,7	40,6	12,94	29,7	52	76,3	13,74794903	2,183328534	TATA-less	CpG	IBTK	chr6
85	ENSG00000005801.12	chr11:3360491-3400369,-	-	ZNF195	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	102249	44	coding	0.98256	ENCODE:FANTOM:GENCODE:HUBDMAP:MITRANS	5	chr11:3400340..3400422,-	7.710677653404501	39879	17027	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@ZNF195	88,5	13,5	4,64	8,8	21,1	40,86	4,597572871	1,870623289	TATA-less	CpG	ZNF195	chr11
86	ENSG00000005810.13	chr13:77609736-77901221,-	-	MYCBP2	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	150999	111	coding	0.99415	ENCODE:FANTOM:GENCODE:HUBDMAP:MITRANS	5	chr13:77901185..77901252,-	85.20776817147271	282430	22044	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@MYCBP2	135,4	16,9	4,84	10	32,3	66,64	3,770383371	1,780381879	TATA-less	CpG-less	MYCBP2	chr13
87	ENSG00000005812.6	chr13:77562033-77602505,-	-	FBXL3	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	167768	16	coding	0.9801700000000001	ENCODE:FANTOM:GENCODE:HUBDMAP:MITRANS	5	chr13:77601282..77601308,-	4.184031137006951	33490	14822	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@FBXL3	131,6	26,1	7,24	16,3	40,9	64,16	2,1765638	1,213989867	TATA-less	CpG	FBXL3	chr13
88	ENSG00000005955.8	chr17:34900131-34947083,+	+	GGNBP2	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	228171	25	coding	0.9145399999999999	ENCODE:FANTOM:GENCODE:HUBDMAP:MITRANS	5	chr17:34900745..34900821,+	13.7102677983035	46213	3496	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@GGNBP2	201,6	23,1	8,3	16,8	32,4	60,8	15,80405108	2,911727479	TATA-less	CpG	GGNBP2	chr17
89	ENSG00000006007.7	chr16:19511281-19533420,-	-	GDE1	coding_mRNA	coding_mRNA	DHS_promoter	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	224861	10	coding	0.99845	ENCODE:FANTOM:GENCODE:MITRANS	4	chr16:19533404..19533450,-	6.5557122401408305	22076	3335	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@GDE1	117,9	30,8	11,04	21,5	41,5	60,92	2,267113112	1,028894259	TATA-less	CpG	GDE1	chr16
90	ENSG00000006015.13	chr19:18699608-18708241,+	+	C19orf60	coding_mRNA	__na	DHS_dyadic	protein_coding	bin5:>2000nt	type4:at_least_4_exons	tier4_stringent	135102	12	coding	0.99649	ENCODE:FANTOM:GENCODE:HUBDMAP	4	chr19:18699599..18699623,+	4.01810310870049	7192	5928	no	no	no	no	annotation imputed from GENCODE geneType protein_coding	p1@C19orf60	146,6	19,8	8,54	14,2	28	43,5	14,66688129	2,356508286	TATA-less	CpG	C19orf60	chr19
